name,url,pic_url,release,avg_rating,n_ratings,playability,components,writing,art_direction,replayability,publisher,genre,type,theme,scale,proportion,mechanic,playtime,age_rating,min_players,max_players,status,br_score
Teotihuacan: Late Preclassic Period,https://www.beastsofwar.com/game/teotihuacan-late-preclassic-period/,https://www.beastsofwar.com/game/teotihuacan-late-preclassic-period/,2019,0,0,0,0,0,0,0,Board & Dice,,Board Game,,,,,120,12,1,4,In Development,1.269251337
...and then we died,https://www.beastsofwar.com/game/and-then-we-died/,https://www.beastsofwar.com/game/and-then-we-died/,2018,0,0,0,0,0,0,0,Killjoy Games,Horror,Card Game,,,,,20,10,1,8,In Production,1.269251337
"...and then, we held hands.",https://www.beastsofwar.com/game/and-then-we-held-hands/,https://www.beastsofwar.com/game/and-then-we-held-hands/,2015,0,0,0,0,0,0,0,LudiCreations,Family,,,,,,45,12,2,2,In Production,1.269251337
1-48 Tactic,https://www.beastsofwar.com/game/1-48-tactic/,https://www.beastsofwar.com/game/1-48-tactic/,2018,0,1,0,0,0,0,0,Baueda Wargames,Historical,Miniature War Game,,1:48,TRUE,,60,15,2,4,In Production,1.022088992
"1, 2, 3",https://www.beastsofwar.com/game/1-2-3/,https://www.beastsofwar.com/game/1-2-3/,2018,0,0,0,0,0,0,0,Devir Games,"Childrens, Family, Puzzle",Board Game,,,,,15,6,2,8,In Production,1.269251337
1001 Odysseys,https://www.beastsofwar.com/game/1001-odysseys/,https://www.beastsofwar.com/game/1001-odysseys/,2019,0,0,0,0,0,0,0,Asmadi Games,Science Fiction,Board Game,,,,,90,,1,5,In Development,1.269251337
1650,https://www.beastsofwar.com/game/tercio-creativo-1650/,https://www.beastsofwar.com/game/tercio-creativo-1650/,2010,0,0,0,0,0,0,0,Tercio Creativo,Fantasy,Miniature War Game,,28mm,Heroic,,,,2,,In Production,1.269251337
1750: Britain VS France,https://www.beastsofwar.com/game/1750-britain-vs-france/,https://www.beastsofwar.com/game/1750-britain-vs-france/,2017,0,0,0,0,0,0,0,Battle Hardened Games,Historical,Card Game,,,,,60,13,2,2,,1.269251337
19 Kingdoms,https://www.beastsofwar.com/game/19-kingdoms/,https://www.beastsofwar.com/game/19-kingdoms/,TBA,0,0,0,0,0,0,0,19 Kingdoms,Fantasy,Miniature War Game,,28mm,,,,,2,,,1.269251337
1942 USS Yorktown,https://www.beastsofwar.com/game/1942-uss-yorktown/,https://www.beastsofwar.com/game/1942-uss-yorktown/,2019,0,0,0,0,0,0,0,Looping Games,Historical,Board Game,,,,,45,12,1,4,In Production,1.269251337
1987 Channel Tunnel,https://www.beastsofwar.com/game/1987-channel-tunnel/,https://www.beastsofwar.com/game/1987-channel-tunnel/,2019,0,0,0,0,0,0,0,Looping Games,Historical,,,,,,45,12,2,2,In Production,1.269251337
2491 Planetship,https://www.beastsofwar.com/game/2491-planetship/,https://www.beastsofwar.com/game/2491-planetship/,2019,0,0,0,0,0,0,0,Mebo,Science Fiction,Board Game,,,,,90,14,2,5,In Development,1.269251337
3 Laws of Robotics,https://www.beastsofwar.com/game/3-laws-of-robotics/,https://www.beastsofwar.com/game/3-laws-of-robotics/,2019,0,0,0,0,0,0,0,Floodgate Games,Science Fiction,Card Game,,,,,30,12,4,10,In Production,1.269251337
303 Squadron,https://www.beastsofwar.com/game/303-squadron/,https://www.beastsofwar.com/game/303-squadron/,2020,0,0,0,0,0,0,0,Hobbity,Historical,Board Game,,,TRUE,,120,10,1,4,In Development,1.269251337
5150 No Quarter Mecha Combat,https://www.beastsofwar.com/game/5150-no-quarter/,https://www.beastsofwar.com/game/5150-no-quarter/,2015,0,2,0,0,0,0,0,Two Hour Wargames,Science Fiction,Miniature War Game,,,,,,,1,,,0.855497306
7 for the Queen,https://www.beastsofwar.com/game/7-for-the-queen/,https://www.beastsofwar.com/game/7-for-the-queen/,2018,0,0,0,0,0,0,0,DV Giochi,Family,,,,,,30,8,3,4,In Production,1.269251337
7 Summits,https://www.beastsofwar.com/game/7-summits/,https://www.beastsofwar.com/game/7-summits/,2020,0,0,0,0,0,0,0,Deep Water Games,Strategy,Board Game,,,,,40,12,2,5,In Development,1.269251337
7th Voyage,https://www.beastsofwar.com/game/7th-voyage/,https://www.beastsofwar.com/game/7th-voyage/,2013,0,0,0,0,0,0,0,Crooked Dice Game Design Studio,Science Fiction,Miniature War Game,,28mm,,,120,8,2,2,In Production,1.269251337
7TV,https://www.beastsofwar.com/game/7tv/,https://www.beastsofwar.com/game/7tv/,2010,8.5,12,7.5,9.6,7.9,7.9,9,Crooked Dice Game Design Studio,Pulp,Miniature War Game,,28mm,,,,,,,In Production,6.646840572
878 Vikings: Invasions Of England,https://www.beastsofwar.com/game/878-vikings-invasions-of-england/,https://www.beastsofwar.com/game/878-vikings-invasions-of-england/,2017,0,3,0,0,0,0,0,Academy Games,Historical,Board Game,,28mm,,,60,10,2,4,In Production,0.735600734
8Bit Box,https://www.beastsofwar.com/game/8bit-box/,https://www.beastsofwar.com/game/8bit-box/,2018,0,0,0,0,0,0,0,IELLO Games,Family,Board Game,,,,,30,6,3,6,In Production,1.269251337
A Call To Arms: Babylon 5,https://www.beastsofwar.com/game/a-call-to-arms/,https://www.beastsofwar.com/game/a-call-to-arms/,2011,0,3,0,0,0,0,0,Mongoose Publishing,Science Fiction,Miniature War Game,,,,,,,2,,,0.735600734
A Call to Arms: Noble Armada,https://www.beastsofwar.com/game/call-to-arms-noble-armada/,https://www.beastsofwar.com/game/call-to-arms-noble-armada/,2011,0,1,0,0,0,0,0,Mongoose Publishing,Science Fiction,Miniature War Game,,,,,,,2,,,1.022088992
A Call to Arms: Star Fleet,https://www.beastsofwar.com/game/call-to-arms-star-fleet/,https://www.beastsofwar.com/game/call-to-arms-star-fleet/,2011,0,0,0,0,0,0,0,"Mongoose Publishing, Amarillo Design Bureau",Science Fiction,Miniature War Game,,,,,,,2,,,1.269251337
A Feast for Odin: The Norwegians,https://www.beastsofwar.com/game/a-feast-for-odin-the-norwegians/,https://www.beastsofwar.com/game/a-feast-for-odin-the-norwegians/,2018,0,0,0,0,0,0,0,Z-Man Games,Historical,Board Game,,,,,,12,1,4,In Production,1.269251337
A Fistful of Kung Fu,https://www.beastsofwar.com/game/a-fistful-of-kung-fu/,https://www.beastsofwar.com/game/a-fistful-of-kung-fu/,2014,0,1,0,0,0,0,0,Osprey Publishing,Pulp,Miniature War Game,,28mm,,,,,2,,,1.022088992
