url,Bottling_serie,Vintage,Bottled,Number_of_bottles,Strength,Size,Casktype,Bottled_for,Stated_Age,Casknumber,Bottle_code,Calculated_age,Label,Barcode,rating,votes,category,price,distillery,bottler
https://www.whiskybase.com/whiskies/whisky/8854/bowmore-1966-sa,Bouquet,1966,1984,720,53,750 ml,,,,,,18,,,96.24,93,Single Malt,31960.14,Bowmore,Samaroli (Sa)
https://www.whiskybase.com/whiskies/whisky/12078/strathisla-1967-rwd,,1967,1986,360,57,750 ml,Sherry Wood,Samaroli,,,,19,,,96.16,53,Single Malt,3300,Strathisla,R. W. Duthie & Co. (RWD)
https://www.whiskybase.com/whiskies/whisky/24413/laphroaig-1967-rwd,,1967,1982,720,57,750 ml,Sherry Cask,Imported by S. Samaroli,15,,,15,,,96.06,67,Single Malt,46833.33,Laphroaig,R. W. Duthie & Co. (RWD)
https://www.whiskybase.com/whiskies/whisky/23249/laphroaig-1970-rwd,,1970,1984,,57.1,750 ml,,"Osteria Apostoli, Milan - Imported by Samaroli",,4367,,14,,,95.98,43,Single Malt,8999,Laphroaig,R. W. Duthie & Co. (RWD)
https://www.whiskybase.com/whiskies/whisky/9260/springbank-100-proof,Imported by Samaroli,,1982,2400,57.1,750 ml,Sherry Wood,,12,,,,,,95.54,149,Single Malt,6373.75,Springbank,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/32205/glen-cawdor-1964-rwd,,1964,1983,360,43,750 ml,Sherry Wood,Samaroli,,,,19,,,95.37,52,Single Malt,1100,,Pure Malt Scotch Whisky
https://www.whiskybase.com/whiskies/whisky/15778/springbank-1969-sv,Cask Strength Collection,1969,2009,356,54.4,700 ml,Refill Sherry Butt,,40,263,09/471,40,,,95.29,91,Single Malt,6898.43,Springbank,Signatory Vintage (SV)
https://www.whiskybase.com/whiskies/whisky/1292/ardbeg-1976,,1976,2002,468,54.5,700 ml,Sherry butt,,,2395,,26,,,95.27,105,Single Malt,3759.19,Ardbeg,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/25154/glenfarclas-1958-sv,10th Anniversary 1988-1998 of Signatory,1958,1998,496,52.8,50 ml 700 ml,Spanish Sherry Butt,,40,2232,,40,,,95.27,56,Single Malt,8031.33,Glenfarclas,Signatory Vintage (SV)
https://www.whiskybase.com/whiskies/whisky/15731/the-prestonfield-1966-mbo,,1966,1988,,43,750 ml,Sherry Wood,"Prestonfield House, Edinburgh",21,29,,22,White label printed in red & black,,95.25,36,Single Malt,4500,Bowmore,Morrison Bowmore Distillers Ltd (MBo)
https://www.whiskybase.com/whiskies/whisky/34544/glenlivet-1955-rwd,,1955,1982,,43,750 ml,,Samaroli,27,,,27,Hand written label,,95.24,43,Single Malt,1501,Glenlivet,R. W. Duthie & Co. (RWD)
https://www.whiskybase.com/whiskies/whisky/40090/glen-cawdor-1951-rwd,,1951,,120,46,750 ml,,Samaroli,32,,,,,,95.23,41,Single Malt,33033.41,,Pure Malt Scotch Whisky
https://www.whiskybase.com/whiskies/whisky/33051/bowmore-1964,Islay Pure Malt,1964,,,43,750 ml,Sherry Casks,,,,,,,,95.21,41,Single Malt,8500,Bowmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/83385/macallan-65-year-old-lalique,Pearless Spirit,,2016,450,46.3,700 ml,ex-Sherry Casks,,65,,,,,,95.2,19,Single Malt,87586.38,Macallan,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/17669/caol-ila-1968-rwd,Full Proof,1968,1982,,57,750 ml,,Samaroli,,,,14,,,95.16,69,Single Malt,2440,Caol Ila,R. W. Duthie & Co. (RWD)
https://www.whiskybase.com/whiskies/whisky/17300/bowmore-1964-fino-cask,The Trilogy Series,1964,2002,300,49.6,700 ml 750 ml,Fino Sherry Cask,,37,,,38,,,95.18,69,Single Malt,13460.27,Bowmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/1286/ardbeg-1974,La Maison du Whisky,1974,2006,109,52.5,700 ml,,,,3309,,32,,,95.13,55,Single Malt,4800,Ardbeg,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/12055/ord-1962-sa,Bouquet,1962,1984,720,58,750 ml,,,22,,,22,,,95.11,68,Single Malt,22607.71,Glen Ord,Samaroli (Sa)
https://www.whiskybase.com/whiskies/whisky/7297/bowmore-1956,Islay Pure Malt,1956,,,43,700 ml,Sherry Casks,,,,,,,,95.11,108,Single Malt,14334.15,Bowmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/12513/glen-garioch-1971-sa,Full Proof,1971,,2280,59.6,750 ml,Sherry Wood,,,,,,,,95.06,138,Single Malt,12655,Glen Garioch,Samaroli (Sa)
https://www.whiskybase.com/whiskies/whisky/17647/macallan-1951,,1951,2001,632,48.8,50 ml 700 ml,Matured only in Sherry Wood,,,,,50,,,95.06,34,Single Malt,26695,Macallan,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/10733/laphroaig-1970-rwd,,1970,1986,720,54,750 ml,,Samaroli,,,,16,,,95.01,76,Single Malt,2365,Laphroaig,R. W. Duthie & Co. (RWD)
https://www.whiskybase.com/whiskies/whisky/21071/glenlivet-1954-gm,Private Collection,1954,2010,191,50.6,700 ml,1st Fill Sherry Hogshead,,,2736,,56,,5020613029194,94.98,49,Single Malt,2569.26,Glenlivet,Gordon & MacPhail (GM)
https://www.whiskybase.com/whiskies/whisky/20157/macallan-195859,The Anniversary Malt,1958 / 59,1985,,43,750 ml 750 ml,Sherry,,25,,,,,,94.97,35,Single Malt,7242.55,Macallan,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/93129/bowmore-1956,Islay Pure Malt,1956,,,43,750 ml,Sherry Casks,Importatore: P. Soffiantino & Co. Genova,,,,,old seagull label,,94.97,31,Single Malt,13376.35,Bowmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/52606/brora-1972,Limited Edition,1972,2014,160,59.1,700 ml,,World of Whiskies Exclusive,40,,,42,Decanter,,94.95,98,Single Malt,10835.8,Brora,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/10160/dalmore-50-year-old,Crystal Decanter,1928,1978,60,52,700 ml,Dark Sherry,,50,,,50,,,94.93,31,Single Malt,103246.5,Dalmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/11164/bowmore-1964-gold,,1964,2009,701,42.4,700 ml 750 ml,3 Bourbon & 1 Oloroso Sherry Casks,,44,,,45,,,94.92,92,Single Malt,22702.88,Bowmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/65422/ledaig-1972,Dùsgadh,1972,2014,500,46.7,700 ml,Various Casks + Oloroso Sherry Casks Finish,,42,,,42,,5029704218080,94.91,66,Single Malt,4009.07,Tobermory,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/3999/bowmore-1964-white,,1964,2008,732,42.8,700 ml 750 ml,Bourbon cask,,43,,,44,,,94.89,105,Single Malt,31329.69,Bowmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/38897/bowmore-1967,,1967,,,50,750 ml,Sherry Casks,Soffiantino Import,,,,,,,94.89,41,Single Malt,6954,Bowmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/1307/ardbeg-1976,Feis Ile 2002,1976,2002,494,53.1,700 ml,Sherry Butt,,,2390,,26,,,94.88,99,Single Malt,5108.91,Ardbeg,Distillery Bottling
